,AAPL,MSI,SBUX
968,113.3,82.6,58.77
969,115.19,83.24,59.31
970,115.19,82.9,58.75
971,115.82,83.46,57.71
972,115.97,83.4,57.66
973,116.64,83.93,57.65
974,116.95,83.76,57.7
975,117.06,84.0,57.44
976,116.29,83.72,57.11
977,116.52,83.41,57.01
978,117.26,83.52,56.86
979,116.76,82.86,56.35
980,116.73,82.87,56.32
981,115.82,82.89,55.52
982,116.15,83.6,55.35
983,116.02,83.49,55.99
984,116.61,82.64,56.46
985,117.91,82.89,57.13
986,118.99,83.02,58.2
987,119.11,82.63,57.88
988,119.75,82.88,58.1
989,119.25,82.18,58.03
990,119.04,82.27,57.85
991,120.0,80.73,58.0
992,119.99,81.65,58.45
993,119.78,81.86,57.89
994,120.0,82.36,57.66
995,120.08,82.44,57.76
996,119.97,84.35,58.44
997,121.88,85.29,58.7
998,121.94,83.36,58.46
999,121.95,82.98,56.12
1000,121.63,81.7,55.9
1001,121.35,80.71,55.22
1002,128.75,80.03,53.9
1003,128.53,81.0,53.87
1004,129.08,81.6,55.06
1005,130.29,81.73,55.73
1006,131.53,77.34,55.24
1007,132.04,78.25,55.22
1008,132.42,77.81,55.81
1009,132.12,78.37,56.22
1010,133.29,78.48,56.11
1011,135.02,78.68,56.58
1012,135.51,79.4,56.86
1013,135.345,78.66,56.73
1014,135.72,79.31,57.35
1015,136.7,80.15,57.54
1016,137.11,79.65,57.57
1017,136.53,79.36,57.64
1018,136.66,80.27,57.48
1019,136.93,79.28,56.78
1020,136.99,78.97,56.87
1021,139.79,79.98,57.14
1022,138.96,80.02,57.12
1023,139.78,80.55,57.1
1024,139.34,79.97,56.68
1025,139.52,79.66,56.2
1026,139.0,80.2,55.74
1027,138.68,81.37,55.19
1028,139.14,82.1,54.53
1029,139.2,81.65,54.63
1030,138.99,83.36,54.27
1031,140.46,85.24,54.54
1032,140.69,85.15,54.8
1033,139.99,84.72,55.78
1034,141.46,84.3,55.81
1035,139.84,83.76,55.54
1036,141.42,83.59,55.89
1037,140.92,83.74,55.85
1038,140.64,83.67,56.81
1039,140.88,84.0,57.23
1040,143.8,84.0,57.35
1041,144.12,84.13,57.54
1042,143.93,84.87,58.16
1043,143.66,86.22,58.39
1044,143.7,84.83,58.44
1045,144.77,84.52,58.32
1046,144.02,83.83,58.22
1047,143.66,84.2,57.92
1048,143.34,84.25,58.02
1049,143.17,83.71,57.95
1050,141.63,83.45,57.88
1051,141.8,82.84,57.58
1052,141.05,82.34,57.51
1053,141.83,83.08,58.08
1054,141.2,82.64,58.35
1055,140.68,83.37,59.04
1056,142.44,84.1,60.08
1057,142.27,83.72,60.61
1058,143.64,84.72,61.11
1059,144.53,85.39,60.96
1060,143.68,85.38,61.56
1061,143.79,86.07,61.3
1062,143.65,85.97,60.06
1063,146.58,86.16,60.18
1064,147.51,85.92,60.5
1065,147.06,86.37,60.59
1066,146.53,86.1,60.83
1067,148.96,84.44,60.95
1068,153.01,83.59,60.94
1069,153.99,84.77,60.98
1070,153.26,85.77,60.66
1071,153.95,85.36,60.27
1072,156.1,84.21,59.93
1073,155.7,84.48,60.45
1074,155.47,83.7,59.98
1075,150.25,81.85,59.73
1076,152.54,80.83,59.82
1077,153.06,80.83,61.36
1078,153.99,82.93,61.23
1079,153.8,82.11,61.15
1080,153.34,82.22,61.89
1081,153.87,82.27,62.9
1082,153.61,81.86,63.3
1083,153.67,82.83,63.26
1084,152.76,83.57,63.61
1085,153.18,85.64,63.75
1086,155.45,86.62,64.57
1087,153.93,87.31,64.27
1088,154.45,87.46,64.16
1089,155.37,86.18,63.5
1090,154.99,86.65,62.24
1091,148.98,86.17,62.19
1092,145.42,86.11,61.29
1093,146.59,86.04,60.92
1094,145.16,84.87,60.27
1095,144.29,84.45,60.09
1096,142.27,84.72,60.14
1097,146.34,86.2,60.9
1098,145.01,85.74,59.86
1099,145.87,86.24,59.96
1100,145.63,87.36,59.51
1101,146.28,88.64,59.81
1102,145.82,88.42,59.64
1103,143.73,87.72,58.96
1104,145.83,88.13,59.18
1105,143.68,86.8,58.36
1106,144.02,86.74,58.31
1107,143.5,86.68,58.25
1108,144.09,86.83,57.94
1109,142.73,85.96,57.6
1110,144.18,87.31,58.04
1111,145.06,87.23,57.81
1112,145.53,87.65,57.9
1113,145.74,88.65,58.54
1114,147.77,88.33,58.38
1115,149.04,88.61,58.76
1116,149.56,88.28,58.33
1117,150.08,88.45,58.21
1118,151.02,89.78,58.11
1119,150.34,89.96,58.03
1120,150.27,90.52,57.98
1121,152.09,90.67,58.02
1122,152.74,91.39,58.55
1123,153.46,91.84,57.94
1124,150.56,92.21,59.5
1125,149.5,91.01,54.0
1126,148.73,90.68,53.98
1127,158.59,90.43,54.73
1128,157.14,90.43,55.43
1129,155.57,90.4,55.68
1130,156.39,90.37,55.44
1131,158.81,89.2,55.63
1132,160.08,88.58,54.52
1133,161.06,88.51,53.74
1134,155.32,86.99,53.07
1135,157.48,87.48,53.18
1136,159.85,88.6,53.22
1137,161.6,87.92,53.15
1138,160.95,88.19,53.5
1139,157.86,87.13,53.04
1140,157.5,87.37,52.7
1141,157.21,87.2,53.15
1142,159.78,86.41,54.45
1143,159.98,86.21,54.08
1144,159.27,86.51,53.94
1145,159.86,86.88,54.36
1146,161.47,87.3,54.4
1147,162.91,86.94,54.1
1148,163.35,87.66,54.52
1149,164.0,88.12,54.86
1150,164.05,87.87,54.93
1151,162.08,86.66,55.13
1152,161.91,85.72,54.31
1153,161.26,86.35,53.47
1154,158.63,85.12,53.49
1155,161.5,87.01,54.02
1156,160.86,87.74,53.54
1157,159.65,85.97,54.29
1158,158.28,84.58,54.53
1159,159.88,85.48,54.67
1160,158.67,85.48,54.69
1161,158.73,85.84,54.62
1162,156.07,85.65,55.15
1163,153.39,84.99,55.01
1164,151.89,84.29,55.09
1165,150.55,83.5,54.95
1166,153.14,83.02,55.13
1167,154.23,84.1,54.99
1168,153.28,83.69,54.5
1169,154.12,84.87,53.71
1170,153.81,85.84,53.81
1171,154.48,85.69,53.99
1172,153.48,85.64,53.93
1173,155.39,86.0,54.6
1174,155.3,89.44,55.17
1175,155.84,89.1,55.02
1176,155.9,89.08,55.42
1177,156.55,89.26,55.64
1178,156.0,89.8,55.97
1179,156.99,89.93,55.72
1180,159.88,89.36,54.91
1181,160.47,88.88,54.51
1182,159.76,89.09,55.21
1183,155.98,89.65,55.4
1184,156.25,90.0,54.57
1185,156.17,89.94,54.27
1186,157.1,90.23,54.28
1187,156.41,90.04,54.16
1188,157.41,90.28,54.91
1189,163.05,91.19,54.88
1190,166.72,90.37,55.17
1191,169.04,90.54,54.84
1192,166.89,90.56,55.13
1193,168.11,90.02,54.87
1194,172.5,94.25,56.03
1195,174.25,92.43,56.57
1196,174.81,92.11,57.22
1197,176.24,92.66,57.91
1198,175.88,91.61,57.36
1199,174.67,91.07,57.04
1200,173.97,91.37,56.64
1201,171.34,91.02,56.93
1202,169.08,90.39,56.7
1203,171.1,90.97,57.24
1204,170.15,90.95,56.93
1205,169.98,92.33,56.81
1206,173.14,92.45,57.26
1207,174.96,91.83,57.14
1208,174.97,92.36,56.8
1209,174.09,92.88,55.91
1210,173.07,94.53,56.66
1211,169.48,94.17,57.51
1212,171.85,94.11,57.82
1213,171.05,93.03,57.32
1214,169.8,93.63,58.76
1215,169.64,90.66,59.34
1216,169.01,91.29,59.28
1217,169.32,92.8,59.14
1218,169.37,92.52,58.61
1219,172.67,92.33,59.07
1220,171.7,93.37,59.27
1221,172.27,93.94,59.49
1222,172.22,92.2,59.7
1223,173.97,93.15,58.29
1224,176.42,94.49,58.03
1225,174.54,93.28,58.01
1226,174.35,92.1,57.73
1227,175.01,91.62,57.58
1228,175.01,90.76,57.3
1229,170.57,90.67,57.14
1230,170.6,90.8,57.27
1231,171.08,90.57,57.81
1232,169.23,90.34,57.43
1233,172.26,90.55,57.63
1234,172.23,89.91,58.71
1235,173.03,90.66,58.93
1236,175.0,91.88,59.61
1237,174.35,92.82,59.31
1238,174.33,92.12,59.18
1239,174.29,92.38,59.82
1240,175.28,93.55,60.0
1241,177.09,96.57,60.4
1242,176.19,95.86,60.56
1243,179.1,97.28,60.66
1244,179.26,97.5,61.09
1245,178.46,97.8,61.26
1246,177.0,97.33,61.41
1247,177.04,96.76,61.69
1248,174.22,95.84,60.83
1249,171.11,97.68,60.55
1250,171.51,99.0,57.99
1251,167.96,99.18,57.02
1252,166.97,99.8,57.19
1253,167.43,99.46,56.81
1254,167.78,99.12,56.0
1255,160.5,103.87,55.77
1256,156.49,101.06,54.69
1257,163.03,102.76,55.61
1258,159.54,102.63,54.46
