,AAPL,MSI,SBUX
211,80.7928,65.41,38.69
212,80.1942,64.6,38.2
213,80.0771,64.86,38.24
214,79.2042,65.05,38.175
215,79.6428,65.36,38.23
216,79.2842,65.52,38.045
217,78.6813,66.16,38.84
218,77.7799,65.85,38.575
219,78.4314,65.61,38.83
220,81.4413,66.78,39.16
221,81.0956,67.1,39.285
222,80.5571,67.18,39.44
223,80.0128,67.33,39.285
224,79.2171,67.25,39.275
225,80.1456,67.5,39.195
226,79.0185,66.33,38.585
227,77.2828,66.2,38.475
228,77.7042,65.92,38.085
229,77.1481,66.19,38.605
230,77.6371,65.99,39.015
231,76.6455,66.5,38.8
232,76.1342,66.15,38.835
233,76.5328,65.49,37.56
234,78.0556,66.35,37.73
235,79.6228,65.62,38.095
236,79.1785,65.81,37.645
237,77.2385,66.1,37.45
238,78.4385,67.11,36.825
239,78.7871,64.51,36.8
240,79.4542,65.34,36.695
241,78.0099,64.42,37.49
242,78.6428,64.43,37.105
243,72.3571,64.34,36.945
244,71.5356,63.98,35.78
245,71.3974,64.91,35.955
246,71.5142,63.8,35.56
247,71.6471,62.72,34.485
248,72.6842,62.99,35.325
249,73.2271,62.89,35.245
250,73.2156,63.4,36.18
251,74.2399,64.6,37.0175
252,75.5699,65.08,37.4
253,76.5656,65.03,37.25
254,76.5599,65.78,36.955
255,77.7756,65.67,37.345
256,77.7128,65.61,37.515
257,77.9985,65.78,36.985
258,76.7671,64.93,36.66
259,75.8785,65.22,36.775
260,75.0356,65.02,36.28
261,75.3642,64.96,36.28
262,74.5799,65.1,35.275
263,73.9071,65.45,35.89
264,75.3814,65.9,36.095
265,75.1771,66.2,35.48
266,75.3942,65.98,35.235
267,75.8914,66.76,35.83
268,76.0514,66.33,35.65
269,75.8214,66.57,36.345
270,75.7771,66.64,36.535
271,75.8456,66.43,36.78
272,76.5842,66.08,37.515
273,76.6585,65.02,37.815
274,75.8071,64.21,37.215
275,74.9556,63.67,37.135
276,75.2485,65.08,37.09
277,75.9142,65.72,37.3
278,75.8942,65.7,37.955
279,75.5285,66.66,38.4775
280,76.1242,66.81,38.355
281,77.0271,66.05,37.885
282,77.8556,66.18,37.305
283,77.1114,65.16,36.77
284,76.7799,64.36,36.7
285,76.6942,64.3,36.85
286,76.6771,64.29,36.69
287,77.3785,64.91,37.005
288,77.5071,65.1,36.835
289,76.9699,65.09,36.545
290,75.9742,64.26,35.775
291,74.7814,64.43,35.215
292,74.7771,64.95,35.74
293,75.7599,65.26,36.24
294,74.7828,63.99,35.11
295,74.2299,63.39,34.365
296,74.5256,63.78,34.655
297,73.9942,63.37,34.445
298,74.1442,63.23,35.395
299,74.9914,63.15,35.075
300,75.8814,62.51,35.24
301,75.9569,63.27,35.5745
302,74.9642,63.29,35.195
303,81.1099,63.0,35.545
304,81.7056,62.5,35.725
305,84.8699,62.64,35.465
306,84.6185,63.43,35.32
307,84.2985,63.58,35.31
308,84.4971,62.65,35.56
309,84.6542,65.51,35.3
310,85.8513,66.15,35.46
311,84.9156,66.4,34.79
312,84.6185,67.14,34.87
313,83.9985,67.38,34.79
314,83.6488,67.26,35.145
315,84.6899,67.8,35.575
316,84.8228,67.75,35.58
317,84.8385,67.2,35.085
318,84.1171,66.34,34.925
319,85.3585,66.3,35.47
320,86.3699,66.88,35.51
321,86.3871,66.52,35.115
322,86.6156,66.89,35.2
323,86.7528,66.63,35.7
324,87.7328,67.0,35.99
325,89.3756,67.02,36.83
326,89.1442,66.93,36.635
327,90.7685,66.91,36.555
328,90.4285,67.42,36.62
329,89.8071,67.4,36.925
330,91.0771,66.86,37.09
331,92.1171,67.23,37.335
332,92.4785,67.17,37.36
333,92.2242,67.66,37.665
334,93.7,67.67,37.59
335,94.25,67.7,37.3
336,93.86,66.93,37.4
337,92.29,66.46,36.98
338,91.28,66.78,37.345
339,92.2,66.72,37.545
340,92.08,66.64,37.655
341,92.18,66.62,37.78
342,91.86,67.06,38.615
343,90.91,67.07,38.3
344,90.83,67.1,38.365
345,90.28,66.73,38.715
346,90.36,66.55,39.06
347,90.9,66.56,39.03
348,91.98,66.78,38.97
349,92.93,66.57,38.69
350,93.52,66.96,39.04
351,93.48,67.02,39.095
352,94.03,67.41,39.53
353,95.96799999999999,67.24,39.345
354,95.35,66.27,39.28
355,95.39,66.58,39.725
356,95.035,66.45,39.425
357,95.22,66.0,39.3
358,96.45,66.08,39.28
359,95.32,65.49,39.445
360,94.78,65.67,39.365
361,93.0899,64.94,38.62
362,94.43,65.49,38.97
363,93.939,65.74,38.805
364,94.72,66.05,39.37
365,97.19,65.77,39.57
366,97.03,65.61,40.225
367,97.671,65.0,39.37
368,99.02,65.21,39.18
369,98.38,64.74,39.325
370,98.15,64.83,39.45
371,95.6,63.68,38.84
372,96.13,64.11,38.49
373,95.59,64.11,38.765
374,95.12,61.39,38.395
375,94.96,61.21,38.565
376,94.48,61.25,38.355
377,94.74,62.19,38.81
378,95.99,61.73,38.935
379,95.97,61.64,38.91
380,97.24,62.03,38.62
381,97.5,61.52,38.31
382,97.98,61.0,38.455
383,99.16,60.81,38.795
384,100.53,61.37,39.06
385,100.57,61.64,39.015
386,100.58,61.7,38.735
387,101.32,61.23,38.64
388,101.54,61.02,38.985
389,100.889,60.3,38.895
390,102.13,59.68,38.96
391,102.25,59.37,38.905
